frequency_ghz,cold_load,hot_load
0.041015625,647428234.008888841,662178129.936111093
0.041259766,639104921.316111088,653153663.776111126
0.041503906,627620977.553333282,640722737.956666708
0.041748047,618791007.736666679,631152733.236666679
0.041992188,606854628.126666665,618346401.537222266
0.042236328,596399609.815555573,607141032.762222171
0.042480469,586853526.350000024,597116557.208333373
0.042724609,577479016.892222166,587340627.151666641
0.042968750,569161605.761666656,578571984.962777734
0.043212891,562248311.125000000,571333003.242777824
0.043457031,554677844.446111083,563516508.021666646
0.043701172,548569926.656111121,557608314.793333292
0.043945312,542758596.570000052,551370848.169999957
0.044189453,536903102.627222180,545140735.652222276
0.044433594,532202947.120000005,540443354.594444394
0.044677734,527146742.296111107,535176389.199444473
0.044921875,522542921.697777748,530599507.153888881
0.045166016,518528084.014444470,526644934.507777750
0.045410156,514172709.149444461,522114679.970555544
0.045654297,510751184.722777784,518617515.129444420
0.045898438,506882366.691111088,514724141.691111088
0.046142578,503284707.167777777,511102273.064999998
0.046386719,500023409.311111093,507812707.763888896
0.046630859,496656066.432222247,504387293.393888891
0.046875000,492875036.289444447,500558500.535555542
0.047119141,490418613.640555561,498163413.207222223
0.047363281,487176890.830555558,494838476.853888869
0.047607422,484563715.336666644,492165269.892777801
0.047851562,481792434.966111124,489365901.187777758
0.048095703,479140119.261111140,486720090.165555537
0.048339844,476655464.553333342,484276365.921666682
0.048583984,474016634.907222211,481678203.812222242
0.048828125,471669271.898333311,479305491.852222204
0.049072266,469586271.346111119,477136938.173333347
0.049316406,467185556.951666653,474764753.667777777
0.049560547,465288996.123888910,472792510.032222211
0.049804688,485922884.370000005,493736155.889444470
0.050048828,524978757.656111121,533331495.342222214
0.050292969,464272656.649444461,471793249.556666672
0.050537109,457595554.891666651,465093644.477777779
0.050781250,456058326.928888917,463586383.238888860
0.051025391,454511592.454999983,462035711.654999971
0.051269531,453074241.850000024,460497062.143333316
0.051513672,451585904.751666665,459011458.920555532
0.051757812,450079369.492777765,457480194.801666677
0.052001953,448818939.321111083,456218308.560555577
0.052246094,447341016.742777765,454721217.812222242
0.052490234,446074536.048888862,453462939.541666687
0.052734375,444732655.543333352,452117974.011111140
0.052978516,443593059.208333313,450925622.454999983
0.053222656,442478026.274444461,449828226.660555542
0.053466797,441476718.856111109,448871440.539444447
0.053710938,440519245.952222228,447906884.001111090
0.053955078,439772487.142222226,447173955.264444470
0.054199219,438961236.830555558,446449515.942777753
0.054443359,438512144.944999993,445941644.212777793
0.054687500,437561916.496111095,444905498.230000019
0.054931641,437351253.902777791,444661690.910555542
0.055175781,437109019.410555542,444481395.324444473
0.055419922,436874758.884444416,444277593.997222245
0.055664062,436729066.128333330,444087217.840555549
0.055908203,436600848.743888915,444032023.321666658
0.056152344,436444766.295555532,444344532.502222240
0.056396484,436571836.904444456,444329998.798888862
0.056640625,436421317.960555553,443936139.836666644
